filesystem,cloud,test-name,elapsed
netapp-premium,AZURE,"Read CSV, 100MB over 1000 files",4.441
netapp-premium,AZURE,"Write CSV, 100MB over 10000 files",19.141
netapp-premium,AZURE,"Read CSV, 100MB over 10000 files",29.957
netapp-premium,AZURE,"DD write, 10MB over 1000 files, 2 Parallel Ops",3.655
netapp-premium,AZURE,"DD write, 10MB over 1000 files, 4 Parallel Ops",4.075
netapp-premium,AZURE,"DD write, 10MB over 1000 files, 8 Parallel Ops",5.646
netapp-premium,AZURE,"DD write, 10MB over 1000 files, 16 Parallel Ops",12.183
netapp-premium,AZURE,"DD read, 10MB over 1000 files, 2 Parallel Ops",3.525
netapp-premium,AZURE,"DD read, 10MB over 1000 files, 4 Parallel Ops",3.727
netapp-premium,AZURE,"DD read, 10MB over 1000 files, 8 Parallel Ops",4.705
netapp-premium,AZURE,"DD read, 10MB over 1000 files, 16 Parallel Ops",7.677
netapp-premium,AZURE,"FST random reads, 100MB over 10*10MB reads",0.457
netapp-premium,AZURE,"FST random reads, 100MB over 100*1MB reads",1.014
netapp-premium,AZURE,"FST random reads, 100MB over 1000*100KB reads",1.902
netapp-premium,AZURE,"FST random reads, 100MB over 10000*10KB reads",11.277
netapp-premium,AZURE,Read 14 days of CRAN logs with fread,32.584
netapp-premium,AZURE,Sample 5000 rows from each of 14 CRAN logs with vroom,16.137
storage-acct-azure-files,AZURE,Install MASS,31.983
storage-acct-azure-files,AZURE,Install lattice,22.506
storage-acct-azure-files,AZURE,Install BH,420.953
storage-acct-azure-files,AZURE,"Write CSV, 10KB",0.032
storage-acct-azure-files,AZURE,"Write CSV, 1MB",0.051
storage-acct-azure-files,AZURE,"Write CSV, 100MB",0.336
storage-acct-azure-files,AZURE,"Write CSV, 1GB",2.552
storage-acct-azure-files,AZURE,"Read CSV, 10KB",0.035
storage-acct-azure-files,AZURE,"Read CSV, 1MB",0.062
storage-acct-azure-files,AZURE,"Read CSV, 100MB",0.973
storage-acct-azure-files,AZURE,"Read CSV, 1GB",6.145
storage-acct-azure-files,AZURE,"DD write, 1GB, 2 Parallel Ops",1.536
storage-acct-azure-files,AZURE,"DD write, 1GB, 4 Parallel Ops",2.981
storage-acct-azure-files,AZURE,"DD write, 1GB, 8 Parallel Ops",6.492
storage-acct-azure-files,AZURE,"DD write, 1GB, 16 Parallel Ops",62.459
storage-acct-azure-files,AZURE,"DD read, 1GB, 2 Parallel Ops",23.308
storage-acct-azure-files,AZURE,"DD read, 1GB, 4 Parallel Ops",6.722
storage-acct-azure-files,AZURE,"DD read, 1GB, 8 Parallel Ops",10.338
storage-acct-azure-files,AZURE,"DD read, 1GB, 16 Parallel Ops",83.648
