filesystem,cloud,test-name,elapsed
efs-single-zone,AWS,"DD read, 1GB, 16 Parallel Ops",32.655
efs-single-zone,AWS,"Write CSV, 100MB over 10 files",1.153
efs-single-zone,AWS,"Read CSV, 100MB over 10 files",3.306
efs-single-zone,AWS,"Write CSV, 100MB over 100 files",3.558
efs-single-zone,AWS,"Read CSV, 100MB over 100 files",3.293
efs-single-zone,AWS,"Write CSV, 100MB over 1000 files",15.443
efs-single-zone,AWS,"Read CSV, 100MB over 1000 files",10.015
efs-single-zone,AWS,"Write CSV, 100MB over 10000 files",75.655
efs-single-zone,AWS,"Read CSV, 100MB over 10000 files",55.637
efs-single-zone,AWS,"DD write, 10MB over 1000 files, 2 Parallel Ops",9.962
efs-single-zone,AWS,"DD write, 10MB over 1000 files, 4 Parallel Ops",21.836
efs-single-zone,AWS,"DD write, 10MB over 1000 files, 8 Parallel Ops",43.337
efs-single-zone,AWS,"DD write, 10MB over 1000 files, 16 Parallel Ops",86.333
efs-single-zone,AWS,"DD read, 10MB over 1000 files, 2 Parallel Ops",5.663
efs-single-zone,AWS,"DD read, 10MB over 1000 files, 4 Parallel Ops",5.336
efs-single-zone,AWS,"DD read, 10MB over 1000 files, 8 Parallel Ops",5.447
efs-single-zone,AWS,"DD read, 10MB over 1000 files, 16 Parallel Ops",6.033
efs-single-zone,AWS,"FST random reads, 100MB over 10*10MB reads",1.138
efs-single-zone,AWS,"FST random reads, 100MB over 100*1MB reads",1.594
efs-single-zone,AWS,"FST random reads, 100MB over 1000*100KB reads",2.845
efs-single-zone,AWS,"FST random reads, 100MB over 10000*10KB reads",12.776
efs-single-zone,AWS,Read 14 days of CRAN logs with fread,40.851
efs-single-zone,AWS,Sample 5000 rows from each of 14 CRAN logs with vroom,18.541
same-az-zfs,AWS,Install MASS,10.204
same-az-zfs,AWS,Install lattice,11.34
same-az-zfs,AWS,Install BH,53.494
same-az-zfs,AWS,"Write CSV, 10KB",0.004
same-az-zfs,AWS,"Write CSV, 1MB",0.011
same-az-zfs,AWS,"Write CSV, 100MB",0.204
same-az-zfs,AWS,"Write CSV, 1GB",1.867
same-az-zfs,AWS,"Read CSV, 10KB",0.008
same-az-zfs,AWS,"Read CSV, 1MB",0.012
same-az-zfs,AWS,"Read CSV, 100MB",0.109
same-az-zfs,AWS,"Read CSV, 1GB",0.862
same-az-zfs,AWS,"DD write, 1GB, 2 Parallel Ops",3.482
