elastic-san-same-zone,1,task,user,system,elapsed,parallelism
elastic-san-same-zone,3,"Read CSV, 100MB over 10000 files",3.954,0.776,33.309,NA
elastic-san-same-zone,3,"DD write, 10MB over 1000 files",0.812000000000001,1.188,2.25999999999999,2
elastic-san-same-zone,3,"DD write, 10MB over 1000 files",2.655,3.759,2.96999999999997,4
elastic-san-same-zone,3,"DD write, 10MB over 1000 files",4.499,6.395,5.41299999999995,8
elastic-san-same-zone,3,"DD write, 10MB over 1000 files",13.661,19.741,11.122,16
elastic-san-same-zone,3,"DD read, 10MB over 1000 files",0.919000000000004,1.15100000000001,5.19100000000003,2
elastic-san-same-zone,3,"DD read, 10MB over 1000 files",1.778,2.259,4.77199999999999,4
elastic-san-same-zone,3,"DD read, 10MB over 1000 files",6.363,9.36899999999999,5.024,8
elastic-san-same-zone,3,"DD read, 10MB over 1000 files",14.773,23.137,6.87,16
elastic-san-same-zone,3,"FST random reads, 100MB over 10*10MB reads",1.214,0.108,0.337000000000046,NA
elastic-san-same-zone,3,"FST random reads, 100MB over 100*1MB reads",5.336,0.135,1.08600000000001,NA
elastic-san-same-zone,3,"FST random reads, 100MB over 1000*100KB reads",2.166,0.111,1.97800000000001,NA
elastic-san-same-zone,3,"FST random reads, 100MB over 10000*10KB reads",0.372,0.233,5.786,NA
elastic-san-same-zone,3,Read 14 days of CRAN logs with fread,60.49,2.53,32.836,NA
elastic-san-same-zone,3,Sample 5000 rows from each of 14 CRAN logs with vroom,23.471,5.16700000000001,16.644,NA
managed-disk-local-storage-premium-ssd-lrs,1,task,user,system,elapsed,parallelism
managed-disk-local-storage-premium-ssd-lrs,1,Install MASS,6.996,3.207,7.104,NA
managed-disk-local-storage-premium-ssd-lrs,1,Install lattice,8.685,3.162,8.633,NA
managed-disk-local-storage-premium-ssd-lrs,1,Install BH,9.534,4.245,12.749,NA
managed-disk-local-storage-premium-ssd-lrs,1,"Write CSV, 10KB",0.00099999999999989,0,0.0769999999999982,NA
