filesystem,cloud,test-name,elapsed
gfs-zonal-ssd,GCP,"Write CSV, 1GB",8.978
gfs-zonal-ssd,GCP,"Read CSV, 10KB",0.012
gfs-zonal-ssd,GCP,"Read CSV, 1MB",0.051
gfs-zonal-ssd,GCP,"Read CSV, 100MB",0.824
gfs-zonal-ssd,GCP,"Read CSV, 1GB",4.015
gfs-zonal-ssd,GCP,"DD write, 1GB, 2 Parallel Ops",16.313
gfs-zonal-ssd,GCP,"DD write, 1GB, 4 Parallel Ops",31.219
gfs-zonal-ssd,GCP,"DD write, 1GB, 8 Parallel Ops",60.51
gfs-zonal-ssd,GCP,"DD write, 1GB, 16 Parallel Ops",124.482
gfs-zonal-ssd,GCP,"DD read, 1GB, 2 Parallel Ops",2.327
gfs-zonal-ssd,GCP,"DD read, 1GB, 4 Parallel Ops",3.638
gfs-zonal-ssd,GCP,"DD read, 1GB, 8 Parallel Ops",7.289
gfs-zonal-ssd,GCP,"DD read, 1GB, 16 Parallel Ops",14.539
gfs-zonal-ssd,GCP,"Write CSV, 100MB over 10 files",1.782
gfs-zonal-ssd,GCP,"Read CSV, 100MB over 10 files",3.193
gfs-zonal-ssd,GCP,"Write CSV, 100MB over 100 files",3.085
gfs-zonal-ssd,GCP,"Read CSV, 100MB over 100 files",2.826
gfs-zonal-ssd,GCP,"Write CSV, 100MB over 1000 files",8.071
gfs-zonal-ssd,GCP,"Read CSV, 100MB over 1000 files",7.548
gfs-zonal-ssd,GCP,"Write CSV, 100MB over 10000 files",62.244
gfs-zonal-ssd,GCP,"Read CSV, 100MB over 10000 files",39.404
gfs-zonal-ssd,GCP,"DD write, 10MB over 1000 files, 2 Parallel Ops",8.175
gfs-zonal-ssd,GCP,"DD write, 10MB over 1000 files, 4 Parallel Ops",8.135
gfs-zonal-ssd,GCP,"DD write, 10MB over 1000 files, 8 Parallel Ops",14.004
gfs-zonal-ssd,GCP,"DD write, 10MB over 1000 files, 16 Parallel Ops",26.308
gfs-zonal-ssd,GCP,"DD read, 10MB over 1000 files, 2 Parallel Ops",3.66
gfs-zonal-ssd,GCP,"DD read, 10MB over 1000 files, 4 Parallel Ops",3.986
gfs-zonal-ssd,GCP,"DD read, 10MB over 1000 files, 8 Parallel Ops",4.339
gfs-zonal-ssd,GCP,"DD read, 10MB over 1000 files, 16 Parallel Ops",5.145
gfs-zonal-ssd,GCP,"FST random reads, 100MB over 10*10MB reads",0.724
gfs-zonal-ssd,GCP,"FST random reads, 100MB over 100*1MB reads",2.267
gfs-zonal-ssd,GCP,"FST random reads, 100MB over 1000*100KB reads",3.048
gfs-zonal-ssd,GCP,"FST random reads, 100MB over 10000*10KB reads",10.094
gfs-zonal-ssd,GCP,Read 14 days of CRAN logs with fread,39.197
gfs-zonal-ssd,GCP,Sample 5000 rows from each of 14 CRAN logs with vroom,19.307
gfs-ent-ssd,GCP,Install MASS,16.902
gfs-ent-ssd,GCP,Install lattice,15.843
gfs-ent-ssd,GCP,Install BH,166.503
gfs-ent-ssd,GCP,"Write CSV, 10KB",0.021
gfs-ent-ssd,GCP,"Write CSV, 1MB",0.027
gfs-ent-ssd,GCP,"Write CSV, 100MB",0.818
gfs-ent-ssd,GCP,"Write CSV, 1GB",9.072
gfs-ent-ssd,GCP,"Read CSV, 10KB",0.012
gfs-ent-ssd,GCP,"Read CSV, 1MB",0.049
gfs-ent-ssd,GCP,"Read CSV, 100MB",0.688
gfs-ent-ssd,GCP,"Read CSV, 1GB",4.303
gfs-ent-ssd,GCP,"DD write, 1GB, 2 Parallel Ops",6.247
gfs-ent-ssd,GCP,"DD write, 1GB, 4 Parallel Ops",11.48
gfs-ent-ssd,GCP,"DD write, 1GB, 8 Parallel Ops",18.849
gfs-ent-ssd,GCP,"DD write, 1GB, 16 Parallel Ops",38.795
gfs-ent-ssd,GCP,"DD read, 1GB, 2 Parallel Ops",2.635
gfs-ent-ssd,GCP,"DD read, 1GB, 4 Parallel Ops",3.965
gfs-ent-ssd,GCP,"DD read, 1GB, 8 Parallel Ops",7.356
